Abbreviation	Description	Reaction	GPR	Genes	Proteins	Subsystem	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC Number	Notes	References
r_0077	5'-nucleotidase (IMP)	C00001[c] + C00130[c]  <=> C00294[c] + C00009[c] 	YOR155C	YOR155C			1	0	1000	0				
r_0078	5'-nucleotidase (UMP)	C00001[c] + C00105[c]  <=> C00009[c] + C00299[c] 	(YER037W OR YGL224C)	YER037W YGL224C			1	0	1000	0				
r_0079	5'-phosphoribosylformyl glycinamidine synthetase	s_0301[c] + C00002[c] + C00001[c] + C00064[c]  <=> s_0302[c] + C00008[c] + C00080[c] + C00025[c] + C00009[c] 	YGR061C	YGR061C			1	0	1000	0				
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	C00143[c] + 2 C00080[c] + C00005[c]  <=> C00440[c] + C00006[c] 	(YPL023C OR YGL125W)	YGL125W YPL023C			1	0	1000	0				
r_0081	5-aminolevulinate synthase	C00080[m] + C00037[m] + C00091[m]  <=> C00430[m] + C00011[m] + C00010[m] 	YDR232W	YDR232W			1	0	1000	0				
r_0082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	C11526[c] + C00001[c]  <=> 2 C00080[c] + C01204[c] + C00009[c] 	YOR163W	YOR163W			1	0	1000	0				
r_0083	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	C00002[c] + C00080[c] + C01204[c]  <=> C11526[c] + C00008[c] 	YDR017C	YDR017C			1	0	1000	0				
r_0084	5-formethyltetrahydrofolate cyclo-ligase	C03479[c] + C00002[c]  <=> s_0304[c] + C00008[c] + C00009[c] 	YER183C	YER183C			1	0	1000	0				
r_0085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	s_0323[c] + C00155[c]  <=> C00073[c] + s_1486[c] 	YER091C	YER091C			1	0	1000	0				
r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	C04582[c]  <=> s_0311[c] + C00001[c] 	YJR024C	YJR024C			1	0	1000	0				18625006
r_0087	5-methylthioribose-1-phosphate isomerase	C04188[c]  <=> C04582[c] 	YPR118W	YPR118W			1	-1000	1000	0				21734149
r_0088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	C11526[c] + 2 C00080[c] + C00009[c]  <=> s_0263[c] + C00001[c] 	YLR410W	YLR410W			1	-1000	1000	0				
r_0089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	C11526[c] + 2 C00080[c] + C00009[c]  <=> s_0309[c] + C00001[c] 	YLR410W	YLR410W			1	-1000	1000	0				
r_0090	6-phosphofructo-2-kinase	C00002[c] + C00085[c]  <=> C00008[c] + C00665[c] + C00080[c] 	(YOL136C OR YIL107C)	YIL107C YOL136C			1	0	1000	0				
r_0091	6-phosphogluconolactonase	s_0335[c] + C00001[c]  <=> C00345[c] + C00080[c] 	(YGR248W OR YHR163W)	YGR248W YHR163W			1	0	1000	0				
r_0092	6PP-IP5 depyrophosphorylation to IP6	s_0333[c] + C00001[c]  <=> 2 C00080[c] + C01204[c] + C00009[c] 	(YOR163W OR YLR410W)	YLR410W YOR163W			1	-1000	1000	0				
r_0093	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	s_0333[c] + C00002[c] + 2 C00080[c]  <=> s_0309[c] + C00008[c] + C00001[c] 	YDR017C	YDR017C			1	0	1000	0				
r_0094	8-amino-7-oxononanoate synthase	C00041[c] + C01063[c]  <=> C01092[c] + C00011[c] + C00010[c] + 4 C00080[c] 	(YAR069W-A OR YHR214W-F)	YAR069W-A YHR214W-F			1	0	1000	0				18073433
r_0095	acetaldehyde condensation	2 C00084[c]  <=> C00810[c] 	(YLR134W OR YGR087C OR YLR044C)	YGR087C YLR044C YLR134W			1	0	1000	0				
r_0096	acetohydroxy acid isomeroreductase	s_0146[m] + C00080[m] + C00005[m]  <=> C04272[m] + C00006[m] 	YLR355C	YLR355C			1	0	1000	0				
r_0097	acetolactate synthase	C00080[m] + 2 C00022[m]  <=> s_0146[m] + C00011[m] 	(YMR108W OR (YCL009C AND YMR108W))	YCL009C YMR108W			1	0	1000	0				
r_0099	acetyl-CoA ACP transacylase	C00024[m] + s_1845[m]  <=> C03939[m] + C00010[m] 	YKL192C	YKL192C			1	-1000	1000	0				
r_0100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	C16216[p] + C00010[p]  <=> C00024[p] + C00154[p] 	YIL160C	YIL160C			1	0	1000	0				
r_0101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	s_0243[p] + C00010[p]  <=> C00024[p] + C16529[p] 	YIL160C	YIL160C			1	0	1000	0				
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	C05259[p] + C00010[p]  <=> C00024[p] + C02593[p] 	YIL160C	YIL160C			1	0	1000	0				
r_0103	acetyl-CoA C-acetyltransferase	2 C00024[c]  <=> C00332[c] + C00010[c] 	YPL028W	YPL028W			1	0	1000	0				
r_0104	acetyl-CoA C-acetyltransferase	2 C00024[m]  <=> C00332[m] + C00010[m] 	YPL028W	YPL028W			1	0	1000	0				
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	C05261[p] + C00010[p]  <=> C00024[p] + C01832[p] 	YIL160C	YIL160C			1	0	1000	0				
r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	C05265[p] + C00010[p]  <=> C00024[p] + C01944[p] 	YIL160C	YIL160C			1	0	1000	0				
r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	s_0247[p] + C00010[p]  <=> C00024[p] + C05274[p] 	YIL160C	YIL160C			1	0	1000	0				
r_0108	acetyl-Coa carboxylase	C00024[m] + C00002[m] + C00288[m]  <=> C00008[m] + C00080[m] + C00083[m] + C00009[m] 	YMR207C	YMR207C			1	0	1000	0				
r_0109	acetyl-CoA carboxylase, reaction	C00024[c] + C00002[c] + C00288[c]  <=> C00008[c] + C00080[c] + C00083[c] + C00009[c] 	(YNR016C AND YDL141W)	YDL141W YNR016C			1	0	1000	0				
r_0111	acetyl-CoA hydrolase	C00024[m] + C00001[m]  <=> C00033[m] + C00010[m] + C00080[m] 	YBL015W	YBL015W			1	0	1000	0				
r_0112	acetyl-CoA synthetase	C00033[c] + C00002[c] + C00010[c]  <=> C00024[c] + C00020[c] + C00013[c] 	(YAL054C OR YLR153C)	YAL054C YLR153C			1	0	1000	0				
r_0113	acetyl-CoA synthetase	C00033[m] + C00002[m] + C00010[m]  <=> C00024[m] + C00020[m] + C00013[m] 	YAL054C	YAL054C			1	0	1000	0				
r_0114	acetyl-CoA synthetase nuclear	C00033[n] + C00002[n] + C00010[n]  <=> C00024[n] + C00020[n] + C00013[n] 	YLR153C	YLR153C			1	0	1000	0				
r_0115	acetylglutamate kinase	C00002[m] + C00624[m]  <=> C00008[m] + cpd16822[m] 	YER069W	YER069W			1	0	1000	0				
r_0116	acid phosphatase (secreted)	C00061[x] + C00001[x]  <=> C00009[x] + C00255[x] 	(YBR093C OR YAR071W OR YBR092C OR YHR215W)	YAR071W YBR093C YBR092C YHR215W			1	0	0	0				8817921
r_0117	aconitase	C02225[m]  <=> s_0012[m] 	YPR002W	YPR002W			1	-1000	1000	0				
r_0118	acteylornithine transaminase	C01250[m] + C00025[m]  <=> C00026[m] + C00437[m] 	YOL140W	YOL140W			1	0	1000	0				
r_0119	acyl carrier protein synthase	C00010[m] + C00001[m]  <=> s_0392[m] + 2 C00080[m] + C01134[m] 	YPL148C	YPL148C			1	0	1000	0				
r_0120	acyl-CoA oxidase (decanoyl-CoA)	C05274[p] + C00007[p]  <=> C00027[p] + C05275[p] 	YGL205W	YGL205W			1	0	1000	0				
r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	C01832[p] + C00007[p]  <=> C00027[p] + cpd02060[p] 	YGL205W	YGL205W			1	0	1000	0				
r_0122	acyl-CoA oxidase (hexacosanoyl-CoA)	cpd15241[p] + C00007[p]  <=> C00027[p] + cpd15242[p] 	YGL205W	YGL205W			1	0	1000	0				
r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	C00007[p] + C00154[p]  <=> s_0823[p] + C00027[p] 	YGL205W	YGL205W			1	0	1000	0				
r_0124	acyl-CoA oxidase (octadecanoyl-CoA)	C00007[p] + C00412[p]  <=> C00027[p] + C16218[p] 	YGL205W	YGL205W			1	0	1000	0				
r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	C02593[p] + C00007[p]  <=> C00027[p] + C05273[p] 	YGL205W	YGL205W			1	0	1000	0				
r_0126	acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	C00510[k] + C15777[k]  <=> C00010[k] + s_3433[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0127	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	C00510[k] + C01694[k]  <=> C00010[k] + s_3442[k] 	(YCR048W OR YNR019W)	YCR048W YNR019W			1	-1000	1000	0				
r_0128	acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	C00510[k] + C04525[k]  <=> C00010[k] + s_3436[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0129	acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	C00510[k] + C01724[k]  <=> C00010[k] + s_3439[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0130	acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	C00510[k] + C05437[k]  <=> C00010[k] + s_3445[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0131	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	s_2819[k] + C15777[k]  <=> C00010[k] + s_3434[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0132	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	s_2819[k] + C01694[k]  <=> C00010[k] + s_3443[k] 	(YCR048W OR YNR019W)	YCR048W YNR019W			1	-1000	1000	0				
r_0133	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	s_2819[k] + C04525[k]  <=> C00010[k] + s_3437[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0134	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	s_2819[k] + C01724[k]  <=> C00010[k] + s_3440[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0135	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	s_2819[k] + C05437[k]  <=> C00010[k] + s_3446[k] 	YCR048W	YCR048W			1	-1000	1000	0				
r_0137	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	C04248[e] + C00154[e]  <=> s_0330[e] + C00010[e] 	YJL091C	YJL091C			1	-1000	1000	0				
r_0138	adenine deaminase	C00147[c] + C00080[c] + C00001[c]  <=> C01342[c] + C00262[c] 	YNL141W	YNL141W			1	0	1000	0				
r_0139	adenine phosphoribosyltransferase	C00147[c] + C00119[c]  <=> C00020[c] + C00013[c] 	YML022W	YML022W			1	0	1000	0				
r_0140	adenosine deaminase	C00212[c] + C00080[c] + C00001[c]  <=> C01342[c] + C00294[c] 	YNL141W	YNL141W			1	0	1000	0				
r_0142	adenosine kinase	C00212[c] + C00002[c]  <=> C00008[c] + C00020[c] + C00080[c] 	YJR105W	YJR105W			1	0	1000	0				
r_0143	adenosine monophosphate deaminase	C00020[c] + C00080[c] + C00001[c]  <=> C01342[c] + C00130[c] 	YML035C	YML035C			1	0	1000	0				
r_0144	adenosylhomocysteinase	C00001[c] + C00021[c]  <=> C00212[c] + C00155[c] 	YER043C	YER043C			1	0	1000	0				
r_0145	adenosylmethionine decarboxylase	C00080[c] + C00019[c]  <=> C00011[c] + C01137[c] 	YOL052C	YOL052C			1	0	1000	0				
r_0146	adenosylmethionine-8-amino-7-oxononanoate transaminase	C01092[c] + C00019[c]  <=> C01037[c] + C04425[c] 	YNR058W	YNR058W			1	-1000	1000	0				
r_0147	adenylate cyclase	C00002[c]  <=> C00575[c] + C00013[c] 	YJL005W	YJL005W			1	0	1000	0				
r_0148	adenylate kinase	C00020[c] + C00002[c]  <=> 2 C00008[c] 	YDR226W	YDR226W			1	0	1000	0				
r_0149	adenylate kinase	C00020[m] + C00002[m]  <=> 2 C00008[m] 	YER170W	YER170W			1	0	1000	0				
r_0150	adenylate kinase (GTP)	C00020[m] + C00044[m]  <=> C00008[m] + C00035[m] 	YER170W	YER170W			1	-1000	1000	0				
r_0151	adenylosuccinate lyase (AICAR)	C04823[c]  <=> C04677[c] + C00122[c] 	YLR359W	YLR359W			1	0	1000	0				
r_0152	adenylosuccinate lyase	C03794[c]  <=> C00020[c] + C00122[c] 	YLR359W	YLR359W			1	-1000	1000	0				
r_0153	adenylosuccinate synthase	C00044[c] + C00130[c] + C00049[c]  <=> C03794[c] + C00035[c] + 2 C00080[c] + C00009[c] 	YNL220W	YNL220W			1	0	1000	0				
r_0154	adenylyl-sulfate kinase	C00224[c] + C00002[c]  <=> C00053[c] + C00008[c] + C00080[c] 	YKL001C	YKL001C			1	0	1000	0				
r_0155	ADP-ribose 2,3-cyclic phosphodiesterase	C02353[c] + C00080[c] + C00001[c]  <=> C00946[c] 	YGR247W	YGR247W			1	0	1000	0				
r_0156	alanine glyoxylate aminotransferase	C00048[c] + C00041[c]  <=> C00037[c] + C00022[c] 	YFL030W	YFL030W			1	0	1000	0				
r_0157	alanyl-tRNA synthetase	C00002[c] + C00041[c] + s_1582[c]  <=> s_0404[c] + C00020[c] + C00013[c] 	YOR335C	YOR335C			1	0	1000	0				
r_0158	alcohol acetyltransferase (2-methylbutanol)	cpd16873[c] + C00024[c]  <=> cpd16872[c] + C00010[c] 	(YGR177C OR YOR377W)	YGR177C YOR377W			1	0	1000	0				
r_0159	alcohol acetyltransferase (ethanol)	C00024[c] + C00469[c]  <=> C00010[c] + C00849[c] 	(YGR177C OR YOR377W)	YGR177C YOR377W			1	0	1000	0				
r_0160	alcohol acetyltransferase (isoamyl alcohol)	C00024[c] + s_0929[c]  <=> C00010[c] + C12296[c] 	(YGR177C OR YOR377W)	YGR177C YOR377W			1	0	1000	0				
r_0161	alcohol acetyltransferase (isobutyl alcohol)	C00024[c] + C14710[c]  <=> C00010[c] + cpd16884[c] 	(YGR177C OR YOR377W)	YGR177C YOR377W			1	0	1000	0				
r_0162	alcohol acetyltransferase (phenylethanol alcohol)	C05853[c] + C00024[c]  <=> C00010[c] + C12303[c] 	(YGR177C OR YOR377W)	YGR177C YOR377W			1	0	1000	0				
r_0163	alcohol dehydrogenase (ethanol to acetaldehyde)	C00469[c] + C00003[c]  <=> C00084[c] + C00080[c] + C00004[c] 	YMR303C	YMR303C			1	0	1000	0				
r_0164	alcohol dehydrogenase (glycerol, NADP)	C00577[c] + C00080[c] + C00005[c]  <=> C00116[c] + C00006[c] 	(YDR368W OR YHR104W)	YDR368W YHR104W			1	0	1000	0				
r_0165	mitochondrial alcohol dehydrogenase	C00084[m] + C00080[m] + C00004[m]  <=> C00469[m] + C00003[m] 	(YGL256W OR YMR083W)	YGL256W YMR083W			1	0	1000	0				
r_0166	aldehyde dehydrogenase (2-methylbutanol, NAD)	C02223[c] + C00080[c] + C00004[c]  <=> cpd16873[c] + C00003[c] 	(YOL086C OR YBR145W OR YDL168W)	YBR145W YDL168W YOL086C			1	0	1000	0				
r_0167	aldehyde dehydrogenase (2-methylbutanol, NAD)	C02223[m] + C00080[m] + C00004[m]  <=> cpd16873[m] + C00003[m] 	(YGL256W OR YMR083W)	YGL256W YMR083W			1	0	1000	0				
r_0168	aldehyde dehydrogenase (2-methylbutanol, NADP)	C02223[c] + C00080[c] + C00005[c]  <=> cpd16873[c] + C00006[c] 	(YCR105W OR YDR368W OR YMR318C)	YCR105W YDR368W YMR318C			1	0	1000	0				
r_0169	aldehyde dehydrogenase (2-phenylethanol, NAD)	C00080[c] + C00004[c] + C00601[c]  <=> C05853[c] + C00003[c] 	(YOL086C OR YBR145W OR YDL168W)	YBR145W YDL168W YOL086C			1	0	1000	0				
r_0170	aldehyde dehydrogenase (2-phenylethanol, NAD)	C00080[m] + C00004[m] + C00601[m]  <=> C05853[m] + C00003[m] 	(YGL256W OR YMR083W)	YGL256W YMR083W			1	0	1000	0				
