orgId	locusId	sysName	geneName	desc	set1IT078 Glucose (C) (40mM)	set1IT079 Glucose (C) (40mM)	set1IT080 Glucose (C) (20mM)	set1IT081 Glucose (C) (20mM)	set1IT082 4-Hydroxyvalerate (C) (40mM)	set1IT083 4-Hydroxyvalerate (C) (40mM)	set1IT084 Acetate Carbon Source (20mM)	set1IT085 Acetate Carbon Source (20mM)	set1IT086 Acetate Carbon Source (5mM)	set1IT087 Acetate Carbon Source (5mM)	set5IT075 D-Glucose (C)	set5IT076 D-Glucose (C)	set5IT081 Levulinic Acid (C)	set5IT082 Levulinic Acid (C)	set5IT083 Levulinic Acid (C)	set5IT084 Levulinic Acid (C)
Putida	PP_0041	PP_0041		cadmium translocating P-type ATPase	-0.027	-0.082	-0.086	-0.079	-0.051	-0.112	-0.064	-0.166	-0.078	-0.020	-0.056	-0.075	-0.035	-0.027	-0.234	-0.070
Putida	PP_0042	PP_0042		conserved exported protein of unknown function	-0.111	-0.274	-0.164	-0.258	-0.293	-0.666	-0.060	-0.323	-0.069	-0.466	-0.131	-0.182	-0.068	-0.115	-0.021	-0.095
Putida	PP_0043	PP_0043		cation efflux system protein	0.070	0.060	-0.021	-0.004	-0.097	0.020	-0.028	-0.034	-0.008	-0.038	-0.030	-0.065	-0.016	-0.038	-0.135	-0.101
Putida	PP_0044	PP_0044		cobalt-zinc-cadmium resistance protein	-0.075	0.396	-0.101	-0.262	0.064	-0.108	-0.060	-0.038	-0.086	0.123	0.043	0.000	0.012	0.036	-0.056	-0.011
Putida	PP_0045	PP_0045		cobalt-zinc-cadmium resistance protein	-0.194	0.028	-0.140	0.022	-0.181	-0.289	-0.143	-0.078	-0.040	-0.180	-0.100	-0.062	-0.254	-0.102	-0.061	-0.226
Putida	PP_0046	PP_0046		tyrosine-specific outer membrane porin D	-0.173	-0.178	-0.165	-0.118	-0.368	-0.167	-0.116	-0.072	0.025	-0.020	-0.031	-0.189	0.039	-0.117	-0.051	-0.221
Putida	PP_0047	PP_0047		response regulator	0.065	0.293	-0.054	0.281	0.128	0.061	-0.104	0.459	0.030	0.071	0.006	0.069	-0.063	-0.251	-0.200	-0.182
Putida	PP_0048	PP_0048		conserved protein of unknown function	-0.012	0.366	0.799	0.126	0.291	0.317	-0.678	0.068	0.013	-0.071	0.166	-0.103	0.667	-0.447	0.212	-1.213
Putida	PP_0049	PP_0049		conserved protein of unknown function	-0.132	-0.012	-0.044	-0.011	-0.130	-0.024	-0.014	0.114	-0.010	-0.085	-0.085	-0.023	0.003	-0.049	-0.137	-0.106
Putida	PP_0050	PP_0050		conserved exported protein of unknown function	-0.086	0.038	-0.117	0.164	-0.148	0.015	0.103	0.093	-0.050	-0.306	0.031	-0.110	-0.188	-0.062	-0.188	-0.128
Putida	PP_0051	PP_0051		putative sigma-54 dependent transcriptional regulator	-0.143	-0.302	-0.120	-0.076	-0.557	-0.200	-0.174	-0.252	-0.431	-0.444	-0.234	-0.055	-0.257	0.055	-0.100	-0.011
Putida	PP_0052	PP_0052		beta-lactamase domain protein, putative hydrolase	-0.022	-0.156	-0.269	-0.424	-0.126	-0.261	-0.177	-0.255	-0.166	-0.034	-0.159	-0.002	-0.013	-0.142	0.034	-0.027
Putida	PP_0053	PP_0053		putative sulfide:quinone oxidoreductase	-0.106	-0.212	0.012	-0.094	0.222	0.103	0.018	0.046	-0.035	0.070	-0.013	-0.093	-0.132	-0.165	-0.153	-0.010
Putida	PP_0054	PP_0054		conserved membrane protein of unknown function	-0.165	0.248	-0.052	0.004	0.300	-0.227	0.016	-0.399	0.171	0.007	-0.157	-0.150	0.227	-0.274	0.118	0.007
Putida	PP_0055	PP_0055		transcriptional regulator	-0.173	-0.262	-0.059	-0.148	-0.142	-0.155	-0.056	-0.203	-0.174	-0.022	-0.041	0.045	0.102	-0.044	0.004	0.096
Putida	PP_0056	PP_0056		choline dehydrogenase	0.028	0.052	0.013	0.218	-0.026	-0.068	-0.227	-0.048	0.082	0.095	-0.171	-0.059	0.028	-0.112	-0.009	0.083
Putida	PP_0057	PP_0057		major facilitator family transporter	-0.083	-0.207	-0.040	0.047	-0.111	-0.113	-0.119	0.031	-0.006	-0.083	-0.176	0.006	-0.125	-0.172	-0.051	-0.079
Putida	PP_0058	PP_0058		putative 1-acyl-sn-glycerol-3-phosphate acyltransferase	0.260	0.190	0.317	0.328	0.768	0.902	0.844	0.892	0.561	0.497	0.160	0.031	0.095	-0.040	0.107	0.123
Putida	PP_0062	PP_0062		3-methyl-adenine DNA glycosylase I	0.331	0.315	-0.247	0.536	-0.141	0.396	-0.002	0.390	0.661	-0.143	0.281	-0.248	-0.112	-0.098	0.298	-0.143
Putida	PP_0063	PP_0063		putative Lipid A biosynthesis lauroyl acyltransferase	-0.220	-0.744	-0.266	-0.454	0.083	-0.002	-0.189	0.123	-0.093	-0.019	-0.166	-0.619	1.310	1.038	-0.519	-0.728
Putida	PP_0064	PP_0064		conserved protein of unknown function	0.117	-0.141	-0.127	0.413	0.519	0.389	0.118	0.360	0.333	0.596	-0.314	-0.186	0.092	-0.609	0.058	0.102
Putida	PP_0065	PP_0065		NAD-binding component of TrK potassium transporter	-1.564	-1.912	-1.301	-1.565	-1.848	-1.441	-0.150	-0.731	-0.378	-0.574	-0.544	-0.296	-1.179	-0.441	-0.445	-0.657
Putida	PP_0066	PP_0066		Ribosomal RNA small subunit methyltransferase B	-0.446	-0.302	-0.092	-0.199	-0.194	-0.210	0.026	-0.062	-0.096	-0.190	-0.026	0.053	0.073	-0.211	-0.624	-0.446
Putida	PP_0069	PP_0069		putative Rossmann fold nucleotide-binding protein	-0.006	-0.442	-0.312	-0.207	-0.424	-0.326	-0.051	-0.385	0.064	-0.246	-0.011	-0.095	-0.127	-0.165	-0.360	-0.004
Putida	PP_0071	PP_0071		conserved protein of unknown function	0.022	-0.251	0.041	0.092	-0.245	-0.041	-0.127	-0.215	-0.136	0.132	0.043	-0.108	-0.162	-0.237	0.038	-0.058
Putida	PP_0072	PP_0072		quinone oxidoreductase	-0.238	-0.087	-0.138	-0.137	-0.125	-0.081	-0.113	-0.061	0.021	-0.002	-0.025	-0.118	-0.023	-0.188	-0.018	-0.017
Putida	PP_0075	PP_0075		putative choline sulfate transporter	-0.094	-0.070	0.072	-0.123	0.013	-0.115	0.013	0.032	-0.034	-0.105	-0.028	-0.119	0.075	0.021	-0.025	-0.041
Putida	PP_0076	PP_0076		putative choline betaine-binding protein	-0.334	-0.144	-0.175	-0.246	-0.137	-0.031	-0.287	-0.400	-0.251	-0.221	-0.171	-0.352	-0.183	-0.202	-0.335	-0.201
Putida	PP_0077	PP_0077		choline-sulfatase	0.002	-0.144	-0.118	-0.081	-0.246	-0.273	-0.115	-0.080	-0.165	-0.036	0.002	-0.116	-0.174	-0.250	-0.060	-0.023
Putida	PP_0079	PP_0079		putative transcriptional regulator	-0.131	-0.009	0.023	-0.215	0.023	-0.112	0.004	-0.280	-0.005	-0.144	-0.203	0.030	-0.030	0.051	0.047	-0.020
Putida	PP_0080	PP_0080		conserved protein of unknown function	-0.167	-0.118	-0.536	-0.234	-0.261	-0.093	-0.049	0.081	-0.044	-0.084	-0.304	0.019	0.021	-0.334	0.158	-0.163
Putida	PP_0081	PP_0081		conserved protein of unknown function	0.017	0.225	-0.028	0.351	-0.157	-0.012	-0.040	-0.051	-0.007	-0.120	0.151	-0.315	-0.074	-0.454	-0.265	-0.276
Putida	PP_0082	PP_0082		tryptophan synthase alpha chain	-5.431	-5.057	-5.287	-5.038	-4.899	-4.542	-5.133	-5.107	-4.382	-4.249	-6.049	-5.784	-5.152	-4.389	-5.637	-5.479
Putida	PP_0083	PP_0083		tryptophan synthase beta chain	-4.712	-4.930	-4.552	-4.110	-4.014	-3.918	-4.215	-4.790	-2.782	-3.320	-5.805	-5.233	-5.215	-4.289	-4.331	-4.677
Putida	PP_0084	PP_0084		HTH-type transcriptional regulator TrpI	-0.301	-0.369	-0.261	-0.307	-0.124	-0.016	-0.030	-0.161	-0.279	-0.219	-0.020	-0.067	-0.156	-0.289	0.010	-0.161
Putida	PP_0085	PP_0085		conserved protein of unknown function	-0.011	-0.081	0.034	-0.088	-0.249	-0.230	-0.146	-0.012	-0.008	0.098	-0.114	0.092	0.251	0.085	0.169	-0.054
Putida	PP_0086	PP_0086		conserved protein of unknown function	-0.049	-0.760	-0.598	-0.157	-0.099	-0.766	-0.202	-1.055	-1.251	-0.714	0.283	0.226	0.044	0.368	0.817	0.106
Putida	PP_0087	PP_0087		conserved exported protein of unknown function	-1.005	-0.690	-0.123	-0.122	-0.298	-0.075	-0.204	-0.723	0.525	-0.101	-0.137	0.183	0.155	-0.201	0.264	0.096
Putida	PP_0088	PP_0088		putative alkanal monooxygenase	0.024	-0.054	-0.126	-0.132	-0.065	-0.117	-0.085	-0.077	-0.164	0.005	0.121	0.205	-0.050	-0.032	0.085	-0.014
Putida	PP_0089	PP_0089		stress-induced peroxiredoxin, lipoyl-dependent peroxidase	0.048	0.178	0.122	-0.239	0.017	0.016	0.154	0.067	0.191	-0.162	0.011	0.081	-0.175	0.232	-0.175	-0.036
Putida	PP_0090	PP_0090		conserved exported protein of unknown function	0.190	-0.272	-0.098	0.158	0.102	-0.106	0.338	0.342	0.226	0.063	0.099	-0.124	-0.294	-0.270	-0.268	-0.467
Putida	PP_0091	PP_0091		putative lipoprotein	0.042	0.021	-0.080	0.050	0.095	-0.005	0.075	0.017	-0.024	0.015	-0.191	0.025	0.263	-0.166	0.217	0.013
Putida	PP_0092	PP_0092		putative lipoprotein	-0.340	-0.389	-0.081	-0.326	-0.080	-0.017	0.025	-0.263	-0.092	-0.088	-0.928	-0.031	-0.210	-0.006	-0.093	-0.108
Putida	PP_0093	PP_0093		putative zinc protease protein	0.051	-0.095	-0.070	-0.122	-0.020	-0.042	-0.115	-0.245	-0.040	-0.247	-0.000	0.049	-0.008	0.014	-0.142	-0.063
Putida	PP_0094	PP_0094		5'-nucleotidase	-0.102	0.093	0.002	0.498	-0.200	-0.133	0.216	0.108	0.007	0.153	-0.230	0.018	-0.295	-0.652	-0.034	-0.279
Putida	PP_0095	PP_0095		putative enzyme of unknown function	-0.069	-0.093	0.182	0.108	0.395	0.112	0.195	0.058	-0.000	0.211	-0.180	-0.074	-0.093	-0.248	-0.195	0.027
Putida	PP_0096	PP_0096		oligopeptidase A	-0.289	-0.148	-0.431	-0.236	-0.256	-0.084	-0.490	-0.367	-0.362	-0.147	-0.185	-0.211	-0.621	-0.724	-0.718	-0.610
Putida	PP_0099	PP_0099		conserved protein of unknown function	0.030	0.009	-0.193	0.022	0.034	-0.035	-0.101	0.018	-0.098	0.073	-0.040	0.118	-0.198	-0.177	0.002	0.027
Putida	PP_0101	PP_0101		putative sulfate transporter	-0.296	-0.096	0.017	-0.307	-0.006	-0.295	-0.085	-0.248	0.034	-0.024	0.066	0.124	0.052	-0.120	-0.094	0.130
Putida	PP_0103	PP_0103		cytochrome c oxidase subunit 2	-0.234	-0.088	-0.093	0.002	-0.066	-0.077	0.171	0.158	-0.022	0.027	-0.394	-0.295	0.037	-0.231	-0.111	-0.118
Putida	PP_0104	PP_0104		Cytochrome c oxidase subunit 1	-0.019	-0.250	-0.104	-0.077	-0.187	-0.166	-0.042	0.076	0.125	0.114	0.042	-0.036	-0.016	-0.115	-0.029	0.042
Putida	PP_0105	PP_0105		Cytochrome C oxidase assembly protein	0.143	0.459	0.256	0.088	0.095	0.232	0.096	0.179	0.064	0.242	-0.364	-0.185	0.125	0.229	0.128	0.178
Putida	PP_0106	PP_0106		cytochrome c oxidase subunit 3	-0.038	-0.127	0.170	0.069	-0.020	0.248	0.242	0.162	0.046	0.288	-0.091	0.012	-0.195	-0.188	0.021	0.087
Putida	PP_0107	PP_0107		conserved protein of unknown function	-0.120	-0.112	-0.114	0.098	-0.019	-0.027	-0.042	0.226	-0.170	0.304	0.011	0.055	0.087	0.028	0.065	0.066
Putida	PP_0108	PP_0108		conserved protein of unknown function	-0.575	-0.465	-0.191	-0.673	-0.330	-0.262	-0.340	-0.002	-0.132	-0.586	0.000	0.302	0.148	-0.191	-0.065	0.172
Putida	PP_0109	PP_0109		conserved membrane protein of unknown function	0.167	-0.251	-0.044	0.188	0.033	0.284	0.045	0.295	0.172	0.032	0.142	0.250	0.202	0.115	0.175	0.231
Putida	PP_0110	PP_0110		CyoE like protoheme IX farnesyltransferase	-0.041	0.074	-0.025	0.128	0.029	-0.064	-0.004	-0.051	-0.039	0.232	-0.048	-0.058	0.094	-0.124	-0.092	-0.214
Putida	PP_0111	PP_0111		Electron transport protein SCO1/SenC	-0.204	-0.071	-0.357	0.247	-0.039	-0.158	-0.026	-0.363	0.048	0.282	0.172	-0.027	0.008	0.049	0.193	-0.028
Putida	PP_0112	PP_0112		methionine ABC transporter, periplasmic binding protein	-0.171	-0.149	0.026	0.198	-0.212	0.227	-0.297	-0.030	0.110	0.186	-0.213	0.005	-0.102	-0.072	-0.033	0.083
Putida	PP_0113	PP_0113		methionine ABC transporter, permease protein	0.145	-0.543	-0.074	-0.075	0.364	0.177	0.157	0.183	-0.182	-0.065	-0.024	0.037	-0.084	0.105	-0.152	-0.124
Putida	PP_0114	PP_0114		methionine ABC transporter ATP-binding protein	0.148	0.186	0.041	-0.113	0.363	0.552	0.088	0.259	0.100	0.183	0.067	0.115	-0.134	-0.257	-0.152	0.160
Putida	PP_0115	PP_0115		hydroperoxidase - self catalytic heme d synthase	-0.093	-0.056	-0.132	-0.037	-0.035	-0.130	0.028	-0.084	-0.165	-0.088	-0.020	0.028	-0.039	0.050	-0.061	0.019
Putida	PP_0116	PP_0116		putative lipoprotein	-0.144	-0.458	-0.051	-0.157	0.154	-0.068	-0.205	-0.079	-0.092	-0.222	-0.069	-0.130	-0.209	0.117	-0.492	-0.077
Putida	PP_0117	PP_0117		Zn(2+) ABC transporter - permease subunit	0.166	-0.250	-0.351	-0.006	0.743	0.609	0.089	0.274	0.001	0.051	0.006	-0.423	0.233	0.209	0.416	0.087
Putida	PP_0118	PP_0118		zinc import ATP-binding protein	-0.033	-0.086	-0.129	0.041	0.296	0.396	-0.061	0.122	-0.073	-0.156	-0.290	-0.106	-0.285	-0.013	-0.177	-0.288
Putida	PP_0119	PP_0119		putative zinc uptake regulation protein ZUR	-0.742	-0.040	0.054	-0.257	0.122	-0.024	-0.321	0.253	-0.160	-0.147	-0.260	-0.359	-0.823	-1.048	-0.055	-0.551
Putida	PP_0120	PP_0120		putative zinc ABC transporter	-0.215	0.026	-0.078	-0.132	0.462	0.725	0.107	0.313	-0.048	0.034	-0.242	-0.132	-0.176	-0.186	-0.010	-0.086
Putida	PP_0122	PP_0122		conserved exported protein of unknown function	-0.179	-0.632	-0.012	0.011	0.224	-0.047	0.103	0.120	-0.693	-0.107	-0.559	-0.675	-1.128	-0.913	-0.961	-1.019
Putida	PP_0123	PP_0123		DNA polymerase I, 5	-0.680	-0.650	-0.800	-0.771	-0.586	-0.329	-0.202	-0.683	-0.672	-0.436	0.005	-0.159	-0.183	0.115	-0.142	-0.230
Putida	PP_0125	PP_0125		putative cytochrome c-type protein	-0.173	-0.091	0.164	-0.028	0.046	-0.077	0.054	-0.082	-0.287	-0.215	-0.261	-0.035	-0.235	0.213	-0.110	-0.167
Putida	PP_0126	PP_0126		Cytochrome c4	0.101	0.003	-0.022	-0.068	-0.182	-0.518	-0.036	-0.136	-0.222	-0.228	0.136	0.026	0.218	0.352	-0.030	0.248
Putida	PP_0127	PP_0127		Thiol:disulfide interchange protein	-0.800	-0.687	-0.441	-0.860	-0.368	-0.209	0.106	0.108	-0.246	0.022	-1.793	-1.965	-2.101	-1.161	-0.731	-0.209
Putida	PP_0128	PP_0128		conserved protein of unknown function	0.059	0.084	0.263	0.038	0.806	0.868	0.315	0.558	0.061	0.011	0.062	0.019	-0.039	0.130	0.095	-0.242
Putida	PP_0129	PP_0129		GGDEF domain protein	-0.084	-0.095	-0.008	-0.040	-0.479	-0.415	-0.179	-0.093	-0.156	-0.365	-0.035	-0.017	-0.884	-0.797	-0.360	-0.280
Putida	PP_0130	PP_0130		1,6-anhydro-N-acetylmuramyl-L-alanine amidase	0.043	0.057	0.013	-0.147	0.280	0.256	0.087	0.179	-0.112	0.103	0.198	0.206	0.377	0.239	0.179	0.160
Putida	PP_0131	PP_0131		putative membrane-anchored phosphodiesterase	-0.037	-0.053	-0.005	-0.093	-0.091	-0.175	-0.003	0.048	-0.080	-0.100	-0.017	-0.012	-0.052	-0.017	0.124	0.010
Putida	PP_0132	PP_0132		Alginate biosynthesis sensor protein KinB	-0.191	-0.064	0.236	0.188	0.046	0.455	-0.238	0.223	-0.131	-0.629	0.281	-0.137	-0.034	0.228	0.051	-0.035
Putida	PP_0133	PP_0133		Alginate biosynthesis transcriptional regulatory protein AlgB	-0.146	0.081	0.059	-0.130	0.185	0.317	0.053	-0.048	0.028	-0.192	-0.105	0.039	0.174	0.242	0.014	-0.026
Putida	PP_0134	PP_0134		conserved exported protein of unknown function	0.154	-0.091	0.035	-0.142	-0.066	-0.343	0.122	0.055	0.161	-0.020	0.178	-0.022	0.172	0.118	0.128	0.046
Putida	PP_0135	PP_0135		conserved exported protein of unknown function	-0.030	-0.012	-0.058	-0.065	-0.016	0.325	-0.047	-0.379	0.129	0.175	0.163	-0.173	0.270	-0.036	-0.085	0.205
Putida	PP_0136	PP_0136		conserved exported protein of unknown function	0.059	-0.280	-0.083	0.017	-0.321	-0.153	-0.002	-0.365	-0.163	-0.305	0.005	-0.180	-0.046	-0.112	0.097	-0.051
Putida	PP_0137	PP_0137		glutamate/aspartate-proton DAACS transporter	0.089	0.233	0.069	0.052	0.299	0.142	0.292	0.296	-0.060	0.022	0.273	0.285	0.814	0.589	-0.118	0.065
Putida	PP_0138	PP_0138		conserved membrane protein of unknown function	-0.094	0.022	-0.158	-0.084	0.002	0.074	-0.003	0.021	0.259	0.232	0.003	0.062	-0.669	-0.699	0.395	0.246
Putida	PP_0139	PP_0139		putative Lipoprotein	0.349	-0.247	0.079	-0.110	0.111	-0.125	-0.106	0.039	0.156	0.273	-0.352	-0.283	-0.052	-0.064	0.147	0.129
Putida	PP_0140	PP_0140		conserved protein of unknown function	-0.166	0.017	-0.009	-0.129	0.108	-0.099	0.009	-0.158	-0.082	0.029	0.096	-0.064	-0.101	0.265	-0.025	0.028
Putida	PP_0141	PP_0141		putative ABC transporter, ATP-binding protein	0.005	-0.153	0.156	0.187	0.007	0.071	0.224	-0.260	0.062	-0.237	0.289	0.294	0.066	0.136	0.252	0.383
Putida	PP_0142	PP_0142		putative ABC transporter, permease protein	-0.117	-0.062	0.041	0.262	-0.008	0.289	-0.011	0.170	0.146	0.006	0.226	0.099	0.120	0.095	0.005	0.149
Putida	PP_0143	PP_0143		conserved membrane protein of unknown function	-0.037	-0.147	-0.134	-0.037	0.029	-0.153	-0.162	-0.116	0.056	-0.145	0.040	0.060	0.146	0.054	0.265	0.098
Putida	PP_0144	PP_0144		Metalloprotease, insulinase family	0.001	0.021	0.014	-0.078	0.000	-0.001	0.156	0.209	-0.096	-0.173	-0.013	0.065	0.049	0.041	0.120	-0.003
Putida	PP_0145	PP_0145		Na+/Pi-cotransporter	-0.074	-0.019	-0.077	-0.389	0.188	0.143	0.172	0.229	0.073	-0.015	-0.257	-0.113	0.153	0.326	0.545	0.244
Putida	PP_0146	PP_0146		putative transport protein	-0.051	0.145	0.052	0.035	0.096	0.116	0.202	-0.054	0.085	0.042	0.127	0.115	0.007	0.082	0.031	-0.036
Putida	PP_0147	PP_0147		Citrate transporter	0.015	0.074	0.008	-0.095	0.007	-0.125	-0.035	-0.057	0.043	-0.079	-0.060	0.038	-0.005	-0.089	0.063	0.008
Putida	PP_0148	PP_0148		conserved protein of unknown function	-0.094	0.035	-0.030	-0.051	-0.101	-0.170	-0.055	-0.178	-0.134	-0.210	-0.023	-0.053	-0.128	-0.223	0.101	-0.009
Putida	PP_0149	PP_0149		conserved exported protein of unknown function	-0.041	0.019	0.128	0.083	-0.039	0.026	0.114	0.142	0.193	0.036	-0.031	0.105	0.118	0.041	0.001	-0.042
Putida	PP_0150	PP_0150		conserved exported protein of unknown function	-0.385	-0.115	-0.451	-0.357	-0.784	-0.906	-0.752	-0.175	-0.124	-0.272	0.166	0.073	0.096	-0.523	-0.168	0.184
Putida	PP_0151	PP_0151		conserved exported protein of unknown function	0.596	0.360	0.168	0.412	-0.016	-0.011	-0.150	-0.124	0.130	0.082	-0.187	-0.112	0.164	0.374	0.141	-0.148
Putida	PP_0152	PP_0152		conserved exported protein of unknown function	0.008	0.093	0.184	-0.545	0.045	-0.314	-0.624	-0.606	0.111	-0.837	0.051	0.154	0.302	0.324	0.544	0.581
Putida	PP_0153	PP_0153		hypothetical protein	0.236	-0.094	-0.770	-0.488	-0.504	-0.883	0.099	-0.236	-0.245	-0.945	-0.499	-0.087	-0.424	-0.189	-0.076	-0.053
Putida	PP_0154	PP_0154		propionyl-CoA:succinate CoA transferase	-0.014	-0.016	-0.036	0.068	0.033	-0.076	-1.521	-1.479	-0.147	-0.169	0.084	0.042	0.535	0.324	0.003	0.045
Putida	PP_0155	PP_0155		pyridine nucleotide transhydrogenase, beta subunit	0.101	0.218	0.130	0.060	-0.001	0.119	-0.113	-0.096	-0.053	0.104	0.008	0.103	-0.003	0.002	-0.006	0.068
Putida	PP_0156	PP_0156		pyridine nucleotide transhydrogenase subunit alpha	0.189	0.241	0.152	0.101	-0.395	0.080	-0.107	0.097	-0.078	-0.107	0.073	-0.031	0.334	0.116	0.053	0.255
