Type,Compartment,Metabolite,KeggID
Sink,mitochondria,L-Phenylalanyl-tRNA(Phe),C03511
Sink,cytosol,L-Tryptophanyl-tRNA(Trp),C03512
Sink,mitochondria,L-Tryptophanyl-tRNA(Trp),C03512
Sink,extracellular,N-Acetyl-D-glucosaminide,C03518
Sink,lysosome,"1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol",C03692
Sink,cytosol,2'-Deoxyribonucleoside diphosphate,C04232
Sink,nucleus,2'-Deoxyribonucleoside diphosphate,C04232
Sink,cytosol,5-Fluorodeoxyuridine monophosphate,C04242
Sink,mitochondria,5-Fluorodeoxyuridine monophosphate,C04242
Sink,cytosol,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",C04742
Sink,extracellular,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",C04742
Sink,endoplasmic reticulum,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",C04742
Sink,cytosol,5(S)-HETE,C04805
Sink,extracellular,5(S)-HETE,C04805
Sink,endoplasmic reticulum,5(S)-HETE,C04805
Sink,membrane,7-Dehydrodesmosterol,C05107
Sink,cytosol,3-Aminoisobutyric acid,C05145
Sink,mitochondria,5'-Deoxyadenosine,C05198
Sink,mitochondria,3-Hexaprenyl-4-hydroxy-5-methoxybenzoate,C05313
Sink,cytosol,Selenomethionyl-tRNA(Met),C05336
Sink,mitochondria,Selenomethionyl-tRNA(Met),C05336
Sink,peroxisome,Chenodeoxycholoyl-CoA,C05337
Sink,membrane,Zymosterol,C05437
Sink,cytosol,3-Sulfinylpyruvate,C05527
Sink,mitochondria,3-Sulfinylpyruvate,C05527
Sink,extracellular,p-Hydroxyphenylacetylglycine,C05596
Sink,peroxisome,Cinnavalininate,C05640
Sink,extracellular,gamma-Glutamyl-beta-cyanoalanine,C05711
Sink,cytosol,Cyanohydrin,C05712
Sink,cytosol,S-Substituted L-cysteine,C05726
Sink,extracellular,S-Substituted L-cysteine,C05726
Sink,cytosol,Coproporphyrinogen I,C05768
Sink,cytosol,3-Mercaptolactate,C05823
Sink,extracellular,5-L-Glutamyl-taurine,C05844
Sink,cytosol,2-Hydroxyphenylacetate,C05852
Sink,extracellular,Leukotriene D4,C05951
Sink,extracellular,gamma-Glutamyl-beta-aminopropiononitrile,C06114
Sink,cytosol,Hexadecenal,C06123
Sink,extracellular,1-Methylpyrrolinium,C06178
Sink,cytosol,2'-Deoxyinosine 5'-phosphate,C06196
Sink,cytosol,Hordenine,C06199
Sink,mitochondria,Hordenine,C06199
Sink,cytosol,"(6Z,9Z,12Z)-Octadecatrienoic acid",C06426
Sink,nucleus,"(6Z,9Z,12Z)-Octadecatrienoic acid",C06426
Sink,cytosol,"Eicosapentaenoic acid (20:5, n-3)",C06428
Sink,nucleus,"Eicosapentaenoic acid (20:5, n-3)",C06428
Sink,cytosol,"Docosahexaenoic acid (22:6, n-3)",C06429
Sink,nucleus,"Docosahexaenoic acid (22:6, n-3)",C06429
Sink,cytosol,4-Glutathionyl cyclophosphamide,C11583
Sink,endoplasmic reticulum,4-Glutathionyl cyclophosphamide,C11583
Sink,peroxisome,4-Glutathionyl cyclophosphamide,C11583
Sink,membrane,Dihydroceramide,C12126
Sink,extracellular,5-Aminopentanal,C12455
Sink,cytosol,5'-Deoxy-5-fluorouridine,C12739
Sink,mitochondria,3-Hexaprenyl-4-hydroxybenzoate,C13425
Sink,cytosol,Hydrobromic acid,C13645
Sink,endoplasmic reticulum,Hydrobromic acid,C13645
Sink,peroxisome,Hydrobromic acid,C13645
Sink,cytosol,"(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",C14791
Sink,endoplasmic reticulum,"(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",C14791
Sink,peroxisome,"(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",C14791
Sink,cytosol,"(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",C14792
Sink,endoplasmic reticulum,"(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",C14792
Sink,peroxisome,"(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",C14792
Sink,cytosol,"(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene",C14793
Sink,endoplasmic reticulum,"(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene",C14793
Sink,peroxisome,"(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene",C14793
Sink,cytosol,"1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene",C14803
Sink,endoplasmic reticulum,"1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene",C14803
Sink,peroxisome,"1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene",C14803
Sink,cytosol,"1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene",C14804
Sink,endoplasmic reticulum,"1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene",C14804
Sink,peroxisome,"1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene",C14804
Sink,cytosol,"1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene",C14805
Sink,endoplasmic reticulum,"1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene",C14805
Sink,peroxisome,"1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene",C14805
Sink,cytosol,"1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene",C14806
Sink,endoplasmic reticulum,"1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene",C14806
Sink,peroxisome,"1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene",C14806
Sink,cytosol,"3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene",C14847
Sink,endoplasmic reticulum,"3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene",C14847
Sink,peroxisome,"3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene",C14847
Sink,cytosol,"2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene",C14848
Sink,endoplasmic reticulum,"2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene",C14848
Sink,peroxisome,"2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene",C14848
Sink,cytosol,"4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene",C14855
Sink,endoplasmic reticulum,"4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene",C14855
Sink,peroxisome,"4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene",C14855
Sink,cytosol,"7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene",C14856
Sink,endoplasmic reticulum,"7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene",C14856
Sink,peroxisome,"7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene",C14856
Sink,cytosol,"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione",C14861
Sink,endoplasmic reticulum,"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione",C14861
Sink,peroxisome,"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione",C14861
Sink,cytosol,2-(S-Glutathionyl)acetyl glutathione,C14863
Sink,endoplasmic reticulum,2-(S-Glutathionyl)acetyl glutathione,C14863
Sink,peroxisome,2-(S-Glutathionyl)acetyl glutathione,C14863
Sink,cytosol,S-(2-Chloroacetyl)glutathione,C14864
Sink,endoplasmic reticulum,S-(2-Chloroacetyl)glutathione,C14864
Sink,peroxisome,S-(2-Chloroacetyl)glutathione,C14864
Sink,cytosol,"S-(1,2-Dichlorovinyl)glutathione",C14868
Sink,endoplasmic reticulum,"S-(1,2-Dichlorovinyl)glutathione",C14868
Sink,peroxisome,"S-(1,2-Dichlorovinyl)glutathione",C14868
Sink,cytosol,S-(Formylmethyl)glutathione,C14871
Sink,endoplasmic reticulum,S-(Formylmethyl)glutathione,C14871
Sink,peroxisome,S-(Formylmethyl)glutathione,C14871
Sink,cytosol,Glutathione episulfonium ion,C14874
Sink,endoplasmic reticulum,Glutathione episulfonium ion,C14874
Sink,peroxisome,Glutathione episulfonium ion,C14874
Sink,membrane,Episterol,C15777
Sink,membrane,delta7-Avenasterol,C15782
Sink,cytosol,p-Hydroxyphenyl lignin,C15804
Sink,cytosol,Guaiacyl lignin,C15805
Sink,cytosol,Syringyl lignin,C15806
Sink,mitochondria,[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine,C15979
Sink,peroxisome,trans-2-Enoyl-OPC8-CoA,C16328
Sink,peroxisome,trans-2-Enoyl-OPC6-CoA,C16332
Sink,peroxisome,trans-2-Enoyl-OPC4-CoA,C16336
Sink,peroxisome,7-Methyluric acid,C16355
Sink,peroxisome,1-Methyluric acid,C16359
Sink,peroxisome,"3,7-Dimethyluric acid",C16360
Sink,peroxisome,"3,6,8-Trimethylallantoin",C16362
Sink,endoplasmic reticulum,Tamoxifen N-oxide,C16545
Sink,cytosol,Alcophosphamide,C16551
Sink,cytosol,Aminopropylcadaverine,C16565
Sink,cytosol,"5-Phenyl-1,3-oxazinane-2,4-dione",C16596
Sink,peroxisome,6-Thiourate,C16613
Sink,cytosol,alpha-Fluoro-beta-alanine,C16632
Sink,cytosol,Tryparedoxin disulfide,C16664
Sink,nucleus,Tryparedoxin disulfide,C16664
Sink,mitochondria,Ubiquinone-6,C17568
